 ,genotype,time_off_food,food,date,plate,length_mm,start_frame,end_frame,frames,frame rate (fps),speed_mm/sec,time_sec,manual_bends,mm_per_bend,note
JB,cest-1.2;ges-1p::cest-1.2,5,OP50,7/12/2022,15,0.969,2176,2210,34,10,0.285,3.4,1,0.969,
JB,N2,5,OP50,7/12/2022,16,2.219,101,300,199,10,0.111507538,19.9,6,0.369833333,
JB,N2,5,OP50,7/12/2022,16,1.738,431,479,48,10,0.362083333,4.8,4,0.4345,
JB,N2,5,OP50,7/12/2022,16,1.358,878,952,74,10,0.183513514,7.4,4,0.3395,
JB,N2,5,OP50,7/12/2022,16,1.034,1094,1120,26,10,0.397692308,2.6,2,0.517,
JB,N2,5,OP50,7/12/2022,16,2.144,1241,1300,59,10,0.363389831,5.9,4,0.536,
JB,N2,5,OP50,7/12/2022,16,1.306,1468,1518,50,10,0.2612,5,3,0.435333333,
JB,N2,5,OP50,7/12/2022,16,1.253,1795,1842,47,10,0.266595745,4.7,2,0.6265,
JB,N2,5,OP50,7/12/2022,16,1.148,2138,2183,45,10,0.255111111,4.5,3,0.382666667,
JB,N2,5,OP50,7/12/2022,16,1.63,2343,2394,51,10,0.319607843,5.1,3,0.543333333,
JB,N2,5,OP50,7/12/2022,16,0.839,2561,2603,42,10,0.199761905,4.2,2,0.4195,
JB,N2,5,OP50,7/12/2022,17,1.264,310,352,42,10,0.300952381,4.2,3,0.421333333,
JB,N2,5,OP50,7/12/2022,17,0.962,429,473,44,10,0.218636364,4.4,3,0.320666667,
JB,N2,5,OP50,7/12/2022,17,0.96,890,923,33,10,0.290909091,3.3,2,0.48,
JB,N2,5,OP50,7/12/2022,17,1.09,1002,1038,36,10,0.302777778,3.6,3,0.363333333,
JB,N2,5,OP50,7/12/2022,17,1.173,1105,1146,41,10,0.286097561,4.1,3,0.391,
JB,N2,5,OP50,7/12/2022,17,1.906,1221,1300,79,10,0.241265823,7.9,5,0.3812,
JB,N2,5,OP50,7/12/2022,17,1.586,1566,1671,105,10,0.151047619,10.5,4,0.3965,
JB,N2,5,OP50,7/12/2022,17,1.446,1790,1839,49,10,0.295102041,4.9,3,0.482,
JB,N2,5,OP50,7/12/2022,17,1.312,1987,2032,45,10,0.291555556,4.5,3,0.437333333,
