worm_index,genotype
17,N2
57,N2
80,N2
103,N2
141,N2
185,N2
229,N2
274,N2
313,N2
331,N2
376,N2
414,N2
487,N2
30,cest-1.2
115,cest-1.2
137,cest-1.2
194,cest-1.2
354,cest-1.2
409,cest-1.2
470,cest-1.2
509,cest-1.2
600,cest-1.2
939,cest-1.2
