,worm_index,timestamp,well_name,speed,angular_velocity,relative_to_body_speed_midbody,relative_to_body_radial_velocity_head_tip,relative_to_body_angular_velocity_head_tip,relative_to_body_radial_velocity_neck,relative_to_body_angular_velocity_neck,relative_to_body_radial_velocity_hips,relative_to_body_angular_velocity_hips,relative_to_body_radial_velocity_tail_tip,relative_to_body_angular_velocity_tail_tip,speed_neck,angular_velocity_neck,relative_to_neck_radial_velocity_head_tip,relative_to_neck_angular_velocity_head_tip,speed_head_base,angular_velocity_head_base,relative_to_head_base_radial_velocity_head_tip,relative_to_head_base_angular_velocity_head_tip,speed_hips,angular_velocity_hips,relative_to_hips_radial_velocity_tail_tip,relative_to_hips_angular_velocity_tail_tip,speed_tail_base,angular_velocity_tail_base,relative_to_tail_base_radial_velocity_tail_tip,relative_to_tail_base_angular_velocity_tail_tip,speed_midbody,angular_velocity_midbody,speed_head_tip,angular_velocity_head_tip,speed_tail_tip,angular_velocity_tail_tip,length,area,width_head_base,width_midbody,width_tail_base,quirkiness,major_axis,minor_axis,eigen_projection_1,eigen_projection_2,eigen_projection_3,eigen_projection_4,eigen_projection_5,eigen_projection_6,eigen_projection_7,curvature_head,curvature_hips,curvature_midbody,curvature_neck,curvature_tail,curvature_mean_head,curvature_mean_neck,curvature_mean_midbody,curvature_mean_hips,curvature_mean_tail,curvature_std_head,curvature_std_neck,curvature_std_midbody,curvature_std_hips,curvature_std_tail,orientation_food_edge,dist_from_food_edge,path_curvature_body,path_curvature_tail,path_curvature_midbody,path_curvature_head,d_speed,d_angular_velocity,d_relative_to_body_speed_midbody,d_relative_to_body_radial_velocity_head_tip,d_relative_to_body_angular_velocity_head_tip,d_relative_to_body_radial_velocity_neck,d_relative_to_body_angular_velocity_neck,d_relative_to_body_radial_velocity_hips,d_relative_to_body_angular_velocity_hips,d_relative_to_body_radial_velocity_tail_tip,d_relative_to_body_angular_velocity_tail_tip,d_speed_neck,d_angular_velocity_neck,d_relative_to_neck_radial_velocity_head_tip,d_relative_to_neck_angular_velocity_head_tip,d_speed_head_base,d_angular_velocity_head_base,d_relative_to_head_base_radial_velocity_head_tip,d_relative_to_head_base_angular_velocity_head_tip,d_speed_hips,d_angular_velocity_hips,d_relative_to_hips_radial_velocity_tail_tip,d_relative_to_hips_angular_velocity_tail_tip,d_speed_tail_base,d_angular_velocity_tail_base,d_relative_to_tail_base_radial_velocity_tail_tip,d_relative_to_tail_base_angular_velocity_tail_tip,d_speed_midbody,d_angular_velocity_midbody,d_speed_head_tip,d_angular_velocity_head_tip,d_speed_tail_tip,d_angular_velocity_tail_tip,d_length,d_area,d_width_head_base,d_width_midbody,d_width_tail_base,d_quirkiness,d_major_axis,d_minor_axis,d_eigen_projection_1,d_eigen_projection_2,d_eigen_projection_3,d_eigen_projection_4,d_eigen_projection_5,d_eigen_projection_6,d_eigen_projection_7,d_curvature_head,d_curvature_hips,d_curvature_midbody,d_curvature_neck,d_curvature_tail,d_curvature_mean_head,d_curvature_mean_neck,d_curvature_mean_midbody,d_curvature_mean_hips,d_curvature_mean_tail,d_curvature_std_head,d_curvature_std_neck,d_curvature_std_midbody,d_curvature_std_hips,d_curvature_std_tail,d_orientation_food_edge,d_dist_from_food_edge,d_path_curvature_body,d_path_curvature_tail,d_path_curvature_midbody,d_path_curvature_head,motion_mode,food_region,turn,head_tail_distance,coord_x_body,coord_y_body,coord_x_tail,coord_y_tail,coord_x_midbody,coord_y_midbody,coord_x_head,coord_y_head,genotypes
514,17,36,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.57184,725.4313,6.2418933,8.971826,6.2440724,0.9914917,89.943405,11.707944,-0.9047209,1.5236686,1.1507723,1.8758124,0.4043169,0.8428089,-0.3627737,0.08899309,0.044794917,-0.0034601134,-0.051605016,-0.053438917,0.0686861,-0.034223843,-0.0019165453,0.013864509,-0.03974789,0.029288843,0.016393995,0.041532744,0.028230546,0.008366151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,89.9566,684.4818,696.708,664.6274,662.21326,684.79865,696.5873,699.0751,731.64996,cest-1.2
515,17,37,n/a,-0.5286831,0.018541418,-0.041641086,2.3825307,0.15290987,-0.087856166,0.022147482,-0.2553659,0.02463552,-0.4137633,0.01215542,-0.55969626,0.13111044,3.993346,0.35949856,-1.8882657,0.20592558,2.3139048,0.9567997,-0.5039642,0.015614989,-0.24876185,-0.0049314685,-0.21529698,0.0050697788,-0.1633454,-0.0033039562,-0.57498264,0.0113965,-5.8676605,-4.2363787,-0.03978907,0.0010611278,98.87879,742.05475,6.7716312,9.00333,6.239406,0.99183226,90.80532,11.582157,-1.0544487,1.5928142,0.95987624,1.6042546,0.2373317,0.5724607,-0.18867338,0.063051105,0.04736687,0.0052166684,-0.051235456,-0.039556436,0.05251208,-0.03214282,-0.000778251,0.010578596,-0.0341301,0.02502679,0.018499853,0.041947342,0.028162602,0.0032723004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3345057,68.96478,-1.3445362,0.36628088,-0.057528812,-0.003500809,4.0480294,2.886041,-2.0138562,0.6433978,-1.2544994,-2.532127,-2.74549,-2.5775125,1.9360263,-0.13668546,0.026490377,-0.029016571,0.020729473,-0.001435912,-0.10385194,0.014477819,-0.0024290744,1.5604463e-05,0.0008987136,-0.06349888,-0.009749417,0.0009510116,-0.0018078844,0.0024039177,,,,,,,0.0,,0.0,90.84175,684.39764,696.51764,664.5094,662.265,684.5974,696.4664,699.35126,731.4898,cest-1.2
516,17,38,n/a,-1.5383193,-0.015428406,-0.55484235,3.7445085,0.09361076,1.4828142,-0.0078060455,1.4912349,0.041924994,2.828453,-0.042550415,-0.097039126,0.015494984,3.6011143,0.20850794,0.5896616,-0.04260912,2.172819,0.41390282,-3.4404895,-0.014008748,0.8469981,-0.13515891,-4.078591,0.052827876,0.63259673,-0.17761165,-1.5303433,0.0097558275,5.3342805,-2.0150383,-4.502286,0.018980712,100.06993,720.0991,5.8924065,8.979064,6.2452283,0.9913056,92.12569,12.121862,-1.2371554,1.5674204,0.978668,1.406411,-0.14905262,0.34707958,-0.024392396,0.0332688,0.050670404,-0.008925489,-0.05329996,-0.05367622,0.03771818,-0.026585724,-0.0032284898,0.01487587,-0.039224446,0.0027237863,0.02352427,0.040489092,0.027451575,0.0091227805,,,,,,,2.502894,-0.14637645,-0.7487229,-12.896708,-1.2732947,0.2302693,-0.1925483,1.1580864,-0.119249836,2.072291,-0.12190442,2.7578268,-0.8182617,-25.811777,-2.8411827,7.472279,-0.24621792,-15.19584,-5.77378,0.67518765,-0.25968942,0.9274154,-0.23772317,1.6888032,0.7248009,1.1755168,0.6839899,3.3575459,-0.04243257,-9.90113,27.309057,0.17044045,-0.07219793,5.7605367,-27.402672,-2.5277488,-0.46332994,-1.7319155,-0.0022430597,7.208023,2.5084465,-1.2189479,0.30661708,-1.0955563,-0.95130867,-1.3530773,-1.3295674,0.7672174,-0.06427202,-0.004742304,0.008731828,-0.025871996,-0.022801716,-0.05399901,0.0014085774,0.0039470866,-0.011094981,-0.017771984,-0.054462563,0.0005884559,-0.0039431117,0.0016187361,0.0029992943,,,,,,,0.0,,0.0,92.15847,684.67664,696.97754,664.64746,662.2464,685.11096,696.8057,699.3579,732.80634,cest-1.2
517,17,39,n/a,-4.4345384,0.03298607,-1.9676948,0.26579836,-0.042852655,0.554961,-0.061218336,-0.03786201,0.1093458,0.018698404,0.008381389,-4.7226624,0.19163859,0.010840141,0.14364704,-4.6789846,-0.6200561,0.13604072,-0.7167727,-4.968264,-0.07033681,-0.5582017,-0.20797925,-4.5961404,-0.034264598,0.015485059,-0.20851627,-4.9135284,0.026269024,-4.88953,-0.2552861,-4.5923433,0.05454576,99.171486,746.1207,5.8385324,9.08171,6.226814,0.99044144,91.157814,12.573756,-1.5088778,1.716688,0.77442247,1.1161743,-0.41933015,0.06955517,0.21803422,0.04798745,0.05274203,-0.0121650845,-0.045386177,-0.05386969,0.03753052,-0.029880498,-0.0026452676,0.01386919,-0.039478276,0.010239179,0.01346917,0.041818045,0.027688181,0.009087326,,,,,,,8.444527,-0.00093493226,3.2798665,-31.962852,-1.331327,-9.44707,-0.0031833865,-9.652414,-0.29765224,-20.465195,0.17592849,-1.4897194,-0.2701173,-38.194992,-2.7602751,-4.893783,1.7120941,-21.574512,-4.064727,20.047457,-0.04209545,-8.094917,0.6773566,25.20518,-0.88133705,-5.1085258,0.21682934,8.323047,-0.054791715,-62.497646,20.51468,29.759832,-0.26233202,-0.13096298,-40.43539,0.58000565,-0.7250722,-1.2689018,0.0029329774,1.3030497,-1.9280815,-0.091386676,0.33080366,-1.1593642,0.20738421,0.6308226,-0.12402861,0.039860997,0.08565294,-0.0069596944,0.04286238,-0.034645148,0.019221038,0.02489233,-0.027476393,0.01857931,-0.032226525,0.0056553315,0.051747967,-0.007197084,-0.0035290874,0.0056067384,-0.0063058073,,,,,,,0.0,,0.0,91.21222,684.48376,696.54944,664.61426,662.1779,684.7791,696.4159,698.91315,732.0001,cest-1.2
518,17,40,n/a,0.22218505,-0.025371516,-0.26625797,-1.4864814,-0.22907852,-0.018775377,-0.03561701,0.09206002,-0.011139429,0.20792395,-0.024415905,0.26765183,-0.114368066,-3.7501874,-0.4928562,0.3534179,0.13206021,-2.2448473,-0.77533424,-0.30140787,-0.062291842,0.029462762,-0.07624842,0.291344,0.22251004,0.18930964,0.201893,0.43228108,-0.0013332709,-8.837999,3.956339,0.011343064,-0.02059825,100.60695,733.834,6.0133066,8.864331,5.7198315,0.9911593,92.96773,12.334691,-1.4201331,1.6847993,0.6312094,1.318862,-0.16859148,0.1735905,0.041491844,0.043769505,0.045944177,0.007836217,-0.058997054,-0.04639695,0.036312375,-0.031720247,0.00040587506,0.007250102,-0.039461695,0.008688022,0.018676389,0.04076441,0.028648224,0.0041720886,,,,,,,19.870678,-0.2160031,8.454251,-20.447802,-1.075689,-6.2002263,0.20818849,-4.5489993,-0.5296123,-10.067461,-0.0054559223,21.06385,-0.7110486,-27.788462,-2.8519478,17.00416,3.5777683,-12.576401,-1.1611077,26.458643,0.044340078,-2.4512768,0.850497,27.869736,0.10363444,-2.3631349,0.8975854,20.62601,-0.22765061,64.58153,12.165079,30.35699,-0.26475996,1.3113487,-46.823135,2.1244829,-0.3683885,-0.9802373,0.0052122353,-2.399699,-3.8689804,2.261674,-0.76034915,1.0280728,2.5263112,2.6942697,2.309509,-1.6826957,0.11073999,-0.0056914976,0.03245837,-0.04581915,0.0155420685,0.10041455,-0.00965308,0.0053006154,-0.0035738798,0.0019688483,0.07909525,0.024500472,-0.005950238,0.0067933127,-0.009919461,,,,,,,0.0,,0.0,93.02295,684.19055,696.1052,663.9368,661.1628,684.25757,696.1578,699.06537,732.0358,cest-1.2
519,17,41,n/a,0.9950386,-0.015708886,0.4291176,-5.844347,-0.30578732,-1.3513069,-0.008761061,-1.4044894,-0.04737068,-3.3111053,0.010228135,-0.54395497,-0.06554021,-7.857383,-0.61957455,-0.8784734,0.4710191,-4.299535,-0.8055152,2.5737474,-0.026637383,-1.581477,0.06804806,3.4829626,-0.21157324,-0.899961,-0.11256284,0.96657073,-0.0066816867,-13.415014,4.1393657,4.4256635,-0.059718896,100.03064,707.9685,6.066408,8.761542,5.8645577,0.9921855,92.5166,11.543438,-1.2645714,1.6666614,0.6308587,1.4686263,0.04019415,0.309871,-0.012434097,0.05896468,0.048582498,0.0039332253,-0.0636935,-0.04790991,0.04518588,-0.03482864,0.0023453035,0.0052079135,-0.037527844,0.018248176,0.021365145,0.039430365,0.029133596,0.007231038,,,,,,,2.2529018,0.034476053,3.178505,24.690157,0.06847384,-0.17401026,0.41301936,-0.28456026,0.12774612,-0.8114149,0.09699006,10.353036,0.95057434,23.474169,0.29350886,15.647443,3.6522021,16.799208,5.41401,0.4754512,0.2480911,-0.7125914,0.27820775,-3.39227,-1.3438041,-0.78764427,-1.5200421,-2.1443596,-0.12943354,61.628826,-21.256407,0.15754062,0.15090986,-6.428026,1.7400755,2.609218,0.32618204,0.30348143,0.0046285475,-12.638652,-4.8936877,2.9589758,-1.0255227,1.6588435,2.6306212,2.518791,2.4491603,-1.2692817,0.14110966,0.008727311,-0.036967795,0.028015189,-0.026543293,0.13371111,0.003463991,-0.0022601776,0.015698148,-0.014382498,0.051594023,0.02225874,-0.0015483503,-0.006445051,0.008162755,,,,,,,0.0,,0.0,92.59837,683.9932,695.8362,663.8754,661.13153,683.91125,695.9493,699.2772,731.4071,cest-1.2
520,17,42,n/a,1.5266653,-0.03181486,0.5685807,-5.868542,-0.36555934,-1.3051069,0.0012382113,-1.4025618,-0.04953789,-3.00154,0.0067446125,1.5964926,-0.021675985,-8.325698,-0.7119373,0.42226344,0.4532744,-3.6368794,-1.065105,2.9693289,-0.05703479,-1.2935847,0.047169853,3.7647805,-0.0031742633,-0.6934554,0.06075935,1.2742748,-0.04202616,14.484928,3.3942375,4.514754,-0.024882225,99.56489,732.0738,6.4758773,8.971193,5.9327426,0.9920051,90.437904,11.413062,-0.83037555,1.4885833,1.0828443,1.8740677,0.3889508,0.7624079,-0.28677452,0.08120944,0.05103458,-0.002427574,-0.05913192,-0.04920707,0.067654885,-0.032776423,-0.0010550829,0.012797026,-0.03888762,0.033967756,0.020819312,0.040032975,0.029726174,0.0061114877,,,,,,,0.4537628,0.09176922,-0.22108606,50.52717,1.039491,8.249765,0.32002175,7.413306,0.33791217,15.151767,0.1118336,12.694554,1.20096,50.731422,2.489301,26.319798,0.9615654,28.269478,6.9639554,-9.595063,-0.03499128,6.4943156,-0.27597147,-13.397525,1.0620158,3.2337296,0.840659,-0.7749853,-0.24864677,78.149315,-27.492905,-17.339663,0.572448,-5.946657,68.045334,1.7868742,1.1443774,-0.26949883,0.0036201726,-12.309596,-4.189631,3.1543274,-1.1563007,1.5911167,2.4415917,1.9118927,1.830455,-0.88325197,0.19722308,0.0012887686,-0.06250606,0.03704599,-0.017553972,0.17540406,0.015279936,-0.0073074447,0.02017092,-0.02270735,0.037300777,0.0029755277,0.0038392148,-0.003152623,-0.0038692476,,,,,,,0.0,,0.0,90.44747,684.507,696.6119,664.65594,662.1872,684.746,696.54126,699.7254,731.5758,cest-1.2
521,17,43,n/a,0.89805555,-0.0150287,0.6872935,5.9205656,-0.20853637,-0.070978455,0.0882888,0.006691938,0.027184408,-0.03550053,0.0046811113,3.3735628,0.17080423,3.292063,-0.40480354,5.047651,1.2277209,2.7949152,0.8488687,-0.15877251,0.01213549,-0.18431465,0.0072139045,-0.7263371,-0.18063119,-0.046983644,-0.2541196,-0.21102682,-0.040163334,9.650648,-2.420583,0.058605246,0.024674706,98.67854,734.35596,6.796072,8.962186,5.810876,0.99254787,89.17613,10.866585,-0.53244036,1.3771425,1.1288624,2.1080484,0.5870458,0.90833855,-0.3392927,0.0861024,0.04856237,-0.0032541214,-0.050592497,-0.05435994,0.07642571,-0.03068105,-0.0002721782,0.011959546,-0.043776445,0.02416623,0.025354011,0.040299904,0.026714707,0.006620915,,,,,,,0.23210922,0.20166092,1.4197477,50.951126,2.3159091,8.86532,0.3819915,8.580293,0.25655538,17.600824,0.120766394,7.253673,1.0543433,60.816967,4.897153,27.943136,1.3068242,26.053507,12.765163,-8.161362,0.38787478,8.38356,0.14347608,-14.288276,0.39692223,3.2227972,0.49062255,1.2628171,0.14099567,8.616508,-28.961117,-17.91909,0.34752014,-0.20529732,-38.936375,0.2818934,-0.35975775,-0.64540863,0.008481027,8.450572,-5.73033,0.54115283,-0.5769477,-0.36028945,-1.121963,-2.8761156,-3.0812736,1.9836148,-0.111249715,-0.00036802865,-0.04027502,0.028889129,-0.014872391,-0.07837366,0.08938253,-0.009956003,0.0026517801,-0.02006227,-0.06982573,0.033604097,0.0124996,-0.008820364,-0.0013042702,,,,,,,0.0,,0.0,89.182304,684.3122,696.37787,664.68134,662.08685,684.47864,696.34534,700.216,730.763,cest-1.2
522,17,44,n/a,1.1311675,0.011821879,0.36279175,9.313804,0.0060600094,1.1236225,0.087245464,0.8195025,0.05400297,1.2344247,0.043778215,3.2644114,0.2947478,7.362044,0.12721574,7.0174656,0.7594887,4.1813087,1.2836714,-0.30477166,-0.037134767,0.36681762,-0.014743381,-0.53629464,0.10703148,0.07015789,0.13963486,0.7340752,-0.08127572,10.02978,-4.1085052,-0.77623546,0.11201551,98.24664,728.3821,6.6024704,9.104856,5.783708,0.9932715,88.82372,10.286549,-0.3182732,1.3197712,1.1081938,2.2011037,0.61376196,0.8590075,-0.27740967,0.1181316,0.048969127,-0.014818592,-0.052579705,-0.0531761,0.097807094,-0.030244661,0.00015307013,0.01125919,-0.04434005,0.02943841,0.022257803,0.04058213,0.02818781,0.006070264,,,,,,,0.39860943,0.3619992,-2.5947835,-31.040367,1.9380578,-2.1280515,-0.18316191,-5.028289,0.029164357,-10.848119,0.3974712,-15.147372,0.6778687,-9.921564,4.78505,-28.111319,-4.9745717,-11.432756,1.6061835,10.52922,0.13636228,-3.4363658,0.5899777,15.463037,0.2718102,-2.6672778,1.4324156,2.9509254,0.12649524,-74.303406,5.8260374,14.594072,-0.13268141,2.6966488,-11.431713,-1.1606216,0.036513012,-0.5588214,0.006483783,13.86172,-3.6161358,-1.0098082,-0.018492661,-1.2095975,-2.684119,-3.89734,-3.0320814,2.0662427,-0.18619293,0.017083608,-0.07766027,-0.031904757,0.010703071,-0.15816829,0.064425275,-0.0068796687,0.0024574434,0.006742469,-0.048046004,0.0034910666,0.0030915828,0.008913491,-0.0035465125,,,,,,,0.0,,0.0,88.827225,684.0378,696.292,664.6827,662.0748,684.0858,696.28937,700.7363,730.1721,cest-1.2
523,17,45,n/a,1.5962981,0.028683417,0.994505,9.416796,0.32921344,1.3544892,0.11583566,1.171526,0.027428724,2.2787073,0.04297453,3.7725945,0.294627,9.919392,0.7572086,8.805204,0.84532166,4.179173,2.7644439,0.52092034,0.059327647,1.2214833,0.09021268,-0.5217024,0.1159024,0.27338374,0.20794612,1.6531199,0.00027254308,17.069881,-5.2940974,-0.86097294,0.07937382,99.5033,720.3929,6.5604453,8.863266,5.73912,0.9945494,92.973076,9.693963,-0.6680297,1.315499,0.9747575,1.5374788,-0.47388387,-0.16197419,0.3083099,0.04783453,0.050924174,-0.014510079,-0.05046518,-0.053668786,0.044142783,-0.0059616617,-0.004041884,0.01359256,-0.0449063,0.013020036,0.03090054,0.043782856,0.027080065,0.0057202065,,,,,,,2.9209507,0.18260664,2.2723396,-45.939423,1.2884462,-6.6263666,-0.040247504,-6.1600466,-0.24532141,-7.697313,0.11187383,-7.144703,-0.27386102,-25.585928,2.5527282,-16.355593,-3.8745034,-15.604147,-0.41636243,12.706641,0.5182392,0.73643553,0.81502956,13.964478,-0.7248864,1.4112743,-0.24200012,5.3581305,0.4040886,13.046819,8.69922,13.177862,-2.6863654,5.281675,-32.273754,-0.16298135,-0.4928907,0.6489642,-0.003422157,13.668315,4.2125573,-3.0806668,0.7469112,-1.5401311,-4.2117634,-5.1652446,-3.5168452,1.8108608,-0.43826592,0.0133665055,0.035543393,0.039762516,0.0070880796,-0.3460672,0.07450665,-0.008848256,-0.0022058543,0.016776223,-0.04600568,-0.008223189,0.010262986,-0.004270278,0.0025048207,,,,,,,0.0,,0.0,93.15154,684.2781,696.75385,664.73376,662.1459,684.69257,696.57526,702.24365,731.8775,cest-1.2
